id,name,r,g,b
1,White,244,244,244
18,Nougat,222,139,95
21,Bright Red,221,26,33
23,Bright Blue,0,108,183
24,Bright Yellow,255,205,3
26,Black,21,21,21
28,Dark Green,0,146,71
37,Bright Green,0,175,77
47,Flame Yellow Orange,251,171,24
102,Medium Blue,72,158,206
106,Bright Orange,245,125,32
119,Bright Yellowish Green,165,202,24
135,Sand Blue,103,130,151
138,Sand Yellow,148,126,95
140,Earth Blue,0,57,94
141,Earth Green,0,74,45
154,New Dark Red,127,19,27
199,Dark Stone Grey,100,103,101
194,Medium Stone Grey,160,161,159
211,Vibrant Yellow,255,255,0
222,Light Purple,246,171,205
226,Cool Yellow,255,245,121
283,Light Nougat,252,195,158
297,Warm Gold,195,151,55
310,Metalized Gold,224,192,119
312,Medium Nougat,175,116,70
353,Vibrant Coral,149,108,98
325,Lavender,188,166,208
326,Spring Yellowish Green,204,225,151
330,Olive Green,130,131,83
